Participant,Trial,Condition,Time,TargetDistance,Duration,Mis-Clicks,Target Location
1,73,fixBubble,2018-03-19T20:02:06.847Z,326.30794913335745,1459,1,List Item
1,74,fixBubble,2018-03-19T20:02:08.772Z,286.58075423711193,984,0,Toolbar Item
1,75,fixBubble,2018-03-19T20:02:10.368Z,633.6801792524427,1125,0,Grid Item
1,76,fixBubble,2018-03-19T20:02:12.084Z,240.81511063119783,750,0,Grid Item
1,77,fixBubble,2018-03-19T20:02:13.416Z,338.0434803917852,822,0,Toolbar Item
1,78,fixBubble,2018-03-19T20:02:15.171Z,391.5431359902504,1190,0,List Item
1,79,fixBubble,2018-03-19T20:02:17.015Z,554.6189192422453,1252,1,Grid Item
1,80,fixBubble,2018-03-19T20:02:19.105Z,444.8805479020482,1277,0,List Item
1,81,fixBubble,2018-03-19T20:02:20.947Z,472.45591772125647,1137,0,Grid Item
1,82,fixBubble,2018-03-19T20:02:22.461Z,236.0874937069512,811,0,Grid Item
1,83,fixBubble,2018-03-19T20:02:24.232Z,342.3429422919366,1190,0,List Item
1,84,fixBubble,2018-03-19T20:02:25.988Z,364.6604961857109,1112,0,List Item
1,85,fixBubble,2018-03-19T20:02:28.374Z,477.4152298194827,1511,0,List Item
1,86,fixBubble,2018-03-19T20:02:30.285Z,301.55468468725,1124,0,List Item
1,87,fixBubble,2018-03-19T20:02:31.879Z,584.832941388622,1084,0,Grid Item
1,88,fixBubble,2018-03-19T20:02:33.498Z,450.14720641543346,790,0,Grid Item
1,89,fixBubble,2018-03-19T20:02:35.418Z,344.8191591693952,1175,0,List Item
1,90,fixBubble,2018-03-19T20:02:37.025Z,599.257120379946,1073,0,Toolbar Item
1,91,fixBubble,2018-03-19T20:02:38.631Z,223.40040836911632,875,0,Grid Item
1,92,fixBubble,2018-03-19T20:02:41.472Z,570.9722422762479,1858,0,List Item
1,93,fixBubble,2018-03-19T20:02:43.371Z,385.14575456005036,1038,0,List Item
1,94,fixBubble,2018-03-19T20:02:44.971Z,683.3234752178713,1036,0,Toolbar Item
1,95,fixBubble,2018-03-19T20:02:47.145Z,327.7827445828342,1316,1,List Item
1,96,fixBubble,2018-03-19T20:02:48.677Z,147.02459235106454,820,0,Grid Item
1,97,fixBubble,2018-03-19T20:02:50.272Z,398.13545392646586,1064,0,List Item
1,98,fixBubble,2018-03-19T20:02:51.776Z,218.49163333840144,914,0,Toolbar Item
1,99,fixBubble,2018-03-19T20:02:53.192Z,384.8466282282882,866,0,List Item
1,100,fixBubble,2018-03-19T20:02:54.773Z,412.498517783074,1000,0,List Item
1,101,fixBubble,2018-03-19T20:02:56.078Z,123.06692246317158,793,0,Toolbar Item
1,102,fixBubble,2018-03-19T20:02:58.186Z,431.672581923372,982,0,Grid Item
1,103,fixBubble,2018-03-19T20:02:59.641Z,504.97733329778924,758,0,Grid Item
1,104,fixBubble,2018-03-19T20:03:01.523Z,361.06698132454994,1037,0,List Item
1,105,fixBubble,2018-03-19T20:03:03.250Z,354.102480905477,1009,0,Grid Item
1,106,fixBubble,2018-03-19T20:03:05.109Z,541.5614130705477,1141,0,List Item
1,107,fixBubble,2018-03-19T20:03:06.911Z,647.6770283937065,1011,0,Grid Item
1,108,fixBubble,2018-03-19T20:03:08.800Z,489.1560479842361,1121,0,List Item
1,109,fixBubble,2018-03-19T20:03:10.641Z,329.171995889974,960,0,List Item
1,110,fixBubble,2018-03-19T20:03:12.169Z,358.3142906970637,1005,0,Grid Item
1,111,fixBubble,2018-03-19T20:03:14.288Z,376.73217194261787,941,0,Grid Item
1,112,fixBubble,2018-03-19T20:03:16.286Z,419.7807488657637,1294,0,List Item
1,113,fixBubble,2018-03-19T20:03:18.159Z,587.2238237119667,1028,0,Grid Item
1,114,fixBubble,2018-03-19T20:03:20.662Z,389.0879910313164,1230,0,List Item
1,115,fixBubble,2018-03-19T20:03:22.539Z,504.27378644354206,1167,0,List Item
1,116,fixBubble,2018-03-19T20:03:24.298Z,666.3505888429589,905,0,Grid Item
1,117,fixBubble,2018-03-19T20:03:26.117Z,364.06589705582576,983,0,List Item
1,118,fixBubble,2018-03-19T20:03:27.790Z,469.87673408084805,729,0,Grid Item
1,119,fixBubble,2018-03-19T20:03:29.678Z,406.0330062909259,1077,0,List Item
1,120,fixBubble,2018-03-19T20:03:33.009Z,391.36969697832495,1093,0,List Item
1,121,halo,2018-03-19T20:04:04.747Z,389.3949341757466,1091,0,List Item
1,122,halo,2018-03-19T20:04:06.683Z,408.4649949655391,1356,0,List Item
1,123,halo,2018-03-19T20:04:08.237Z,426.68201634576917,948,0,Grid Item
