Participant,Trial,Condition,Time,TargetDistance,Duration,Mis-Clicks,Target Location
5,1,normal,2018-04-02T10:55:32.684Z,436.84657776882625,956,0,Toolbar Item
5,2,normal,2018-04-02T10:55:34.390Z,372.0533830295107,846,0,Grid Item
5,3,normal,2018-04-02T10:55:36.840Z,489.3523340482543,1590,0,List Item
5,4,normal,2018-04-02T10:55:38.820Z,342.7724930735353,1015,0,List Item
5,5,normal,2018-04-02T10:55:40.556Z,252.05692727173096,968,0,Grid Item
5,6,normal,2018-04-02T10:55:42.768Z,326.710413965175,1320,0,List Item
5,7,normal,2018-04-02T10:55:44.722Z,379.591714190269,1218,0,List Item
5,8,normal,2018-04-02T10:55:47.880Z,507.3762107602165,2366,1,List Item
5,9,normal,2018-04-02T10:55:50.090Z,463.9718276114531,1218,0,List Item
5,10,normal,2018-04-02T10:55:59.834Z,101.23954284666112,948,0,Toolbar Item
5,11,normal,2018-04-02T10:56:01.323Z,391.7003087659013,930,0,Grid Item
5,12,normal,2018-04-02T10:56:03.431Z,502.4199886389086,1338,0,Toolbar Item
5,13,normal,2018-04-02T10:56:04.930Z,402.86954440609037,730,0,Grid Item
5,14,normal,2018-04-02T10:56:06.396Z,616.0019436454609,954,0,Grid Item
5,15,normal,2018-04-02T10:56:08.576Z,541.5025223841967,1412,0,List Item
5,16,normal,2018-04-02T10:56:10.794Z,746.6181136061412,1389,0,Toolbar Item
5,17,normal,2018-04-02T10:56:12.780Z,519.5567768101182,1210,0,List Item
5,18,normal,2018-04-02T10:56:14.610Z,624.9973558582526,955,0,Grid Item
5,19,normal,2018-04-02T10:56:16.410Z,594.4288391806405,1038,0,Grid Item
5,20,normal,2018-04-02T10:56:18.071Z,683.3169153834517,955,0,Grid Item
5,21,normal,2018-04-02T10:56:20.196Z,353.6776528584228,1070,0,List Item
5,22,normal,2018-04-02T10:56:21.972Z,363.90969973295125,1053,0,List Item
5,23,normal,2018-04-02T10:56:23.338Z,129.91807926199542,698,0,Grid Item
5,24,normal,2018-04-02T10:56:25.176Z,205.6667087305367,1248,0,Toolbar Item
5,25,normal,2018-04-02T10:56:26.783Z,171.19205599947335,1049,0,Toolbar Item
5,26,normal,2018-04-02T10:56:29.070Z,596.0092756505325,1690,0,List Item
5,27,normal,2018-04-02T10:56:30.903Z,363.4598077933775,995,0,Grid Item
5,28,normal,2018-04-02T10:56:32.656Z,282.0085457492089,1118,0,List Item
5,29,normal,2018-04-02T10:56:33.951Z,324.4737197712288,753,0,Grid Item
5,30,normal,2018-04-02T10:56:35.626Z,634.1902666948757,1069,0,Grid Item
5,31,normal,2018-04-02T10:56:37.402Z,101.65207834938339,954,0,Toolbar Item
5,32,normal,2018-04-02T10:56:39.048Z,542.7925200654137,1086,0,Grid Item
5,33,normal,2018-04-02T10:56:41.197Z,346.0064952519896,1296,0,List Item
5,34,normal,2018-04-02T10:56:42.951Z,211.80057262621511,1274,0,Toolbar Item
5,35,normal,2018-04-02T10:56:44.623Z,255.61058278707705,1147,0,Toolbar Item
5,36,normal,2018-04-02T10:56:46.176Z,564.6427028008661,945,0,Grid Item
5,37,normal,2018-04-02T10:56:48.853Z,435.55132521840574,1637,0,List Item
5,38,normal,2018-04-02T10:56:50.869Z,209.7989991914663,1179,0,Toolbar Item
5,39,normal,2018-04-02T10:56:52.584Z,357.59372142908643,1164,0,List Item
5,40,normal,2018-04-02T10:56:54.700Z,531.8392206960931,1372,0,List Item
5,41,normal,2018-04-02T10:56:57.301Z,458.1060131576227,1676,0,List Item
5,42,normal,2018-04-02T10:56:59.580Z,306.8649255623369,1333,0,Toolbar Item
5,43,normal,2018-04-02T10:57:01.310Z,611.4779283168264,1101,0,Grid Item
5,44,normal,2018-04-02T10:57:03.413Z,648.4993981289185,1063,0,Grid Item
5,45,normal,2018-04-02T10:57:05.607Z,253.33403357290646,1265,0,Toolbar Item
5,46,normal,2018-04-02T10:57:07.142Z,310.01341888834816,978,0,List Item
5,47,normal,2018-04-02T10:57:09.268Z,538.6478511240365,1482,0,Toolbar Item
5,48,normal,2018-04-02T10:57:11.045Z,231.95895612533593,855,0,Grid Item
5,49,normal,2018-04-02T10:57:12.882Z,317.272902780812,1156,0,List Item
5,50,normal,2018-04-02T10:57:14.855Z,306.5817095414198,1445,0,List Item
5,51,normal,2018-04-02T10:57:16.701Z,325.4471264126391,1189,0,List Item
5,52,normal,2018-04-02T10:57:18.837Z,385.8618203997825,1295,0,List Item
5,53,normal,2018-04-02T10:57:20.606Z,166.32906345906477,860,0,Grid Item
