Participant,Trial,Condition,Time,TargetDistance,Duration,Mis-Clicks,Target Location
3,1,halo,2018-03-19T20:59:27.439Z,571.3725406714476,1910,0,List Item
3,2,halo,2018-03-19T20:59:33.989Z,686.0364688062677,1831,0,Toolbar Item
3,3,halo,2018-03-19T20:59:36.969Z,578.452876436585,1856,0,List Item
3,4,halo,2018-03-19T20:59:39.285Z,124.79691584838493,1279,0,Toolbar Item
3,5,halo,2018-03-19T20:59:40.958Z,58.009440761620006,859,0,Grid Item
3,6,halo,2018-03-19T20:59:43.661Z,139.46498407714392,1842,1,Toolbar Item
3,7,halo,2018-03-19T20:59:46.269Z,542.4846978510403,1867,0,Grid Item
3,8,halo,2018-03-19T20:59:48.987Z,697.6859867132913,1634,0,Grid Item
3,9,halo,2018-03-19T20:59:51.473Z,410.2338426265891,1419,0,List Item
3,10,halo,2018-03-19T20:59:54.454Z,518.6148911934773,1866,0,List Item
3,11,halo,2018-03-19T20:59:56.889Z,335.5534127931123,1388,0,List Item
3,12,halo,2018-03-19T21:00:00.511Z,343.7488445508924,2662,1,List Item
3,13,halo,2018-03-19T21:00:04.050Z,251.5191464175144,2523,0,Toolbar Item
3,14,halo,2018-03-19T21:00:06.222Z,356.93969610832806,1213,0,Grid Item
3,15,halo,2018-03-19T21:00:10.422Z,334.21935972718654,2505,1,List Item
3,16,halo,2018-03-19T21:00:12.627Z,662.7906240194053,1472,0,Grid Item
3,17,halo,2018-03-19T21:00:14.610Z,311.01110207155466,1084,0,List Item
3,18,halo,2018-03-19T21:00:17.305Z,530.4300782136378,1611,0,List Item
3,19,halo,2018-03-19T21:00:19.120Z,310.6903551251131,871,0,Grid Item
3,20,halo,2018-03-19T21:00:21.518Z,392.35561694449564,1425,0,List Item
3,21,halo,2018-03-19T21:00:23.796Z,752.0199956890816,1395,0,Grid Item
3,22,halo,2018-03-19T21:00:26.087Z,581.0688627495252,1352,0,Grid Item
3,23,halo,2018-03-19T21:00:28.652Z,639.3957977960165,1596,0,Toolbar Item
3,24,halo,2018-03-19T21:00:30.727Z,304.892351913054,1122,0,Grid Item
3,25,halo,2018-03-19T21:00:32.766Z,226.854183473157,900,0,Grid Item
3,26,halo,2018-03-19T21:00:34.670Z,341.4088536391643,1078,0,List Item
3,27,halo,2018-03-19T21:00:36.414Z,487.6011411034295,1085,0,Toolbar Item
3,28,halo,2018-03-19T21:00:38.092Z,166.12425766445352,935,0,Toolbar Item
3,29,halo,2018-03-19T21:00:40.123Z,388.3842878047701,1240,0,List Item
3,30,halo,2018-03-19T21:00:41.800Z,452.5751154676665,885,0,Grid Item
3,31,halo,2018-03-19T21:00:44.031Z,283.70024801121747,1227,0,Toolbar Item
3,32,halo,2018-03-19T21:00:45.852Z,305.4590549076001,1007,0,Grid Item
3,33,halo,2018-03-19T21:00:49.332Z,585.4560553339948,2356,0,List Item
3,34,halo,2018-03-19T21:00:51.451Z,345.12631257771625,1166,0,Grid Item
3,35,halo,2018-03-19T21:00:53.331Z,270.1617260984275,924,0,Grid Item
3,36,halo,2018-03-19T21:00:55.159Z,76.33131552118469,1162,0,Toolbar Item
3,37,halo,2018-03-19T21:00:57.076Z,369.26747448839103,1276,0,Toolbar Item
3,38,halo,2018-03-19T21:00:59.184Z,434.33019455034434,1303,0,List Item
3,39,halo,2018-03-19T21:01:01.315Z,305.00521431321033,1141,0,List Item
3,40,halo,2018-03-19T21:01:03.427Z,294.9032351356161,1132,0,List Item
3,41,halo,2018-03-19T21:01:04.962Z,198.21183473656185,832,0,Toolbar Item
3,42,halo,2018-03-19T21:01:06.844Z,385.9403522274986,1264,0,List Item
3,43,halo,2018-03-19T21:01:09.537Z,289.6631389078334,1943,1,Toolbar Item
3,44,halo,2018-03-19T21:01:11.669Z,544.3336340294331,1388,0,List Item
3,45,halo,2018-03-19T21:01:13.846Z,624.3719732619841,877,0,Grid Item
3,46,halo,2018-03-19T21:01:15.882Z,678.4401675057283,1177,0,Grid Item
3,47,halo,2018-03-19T21:01:17.968Z,354.494718271194,1188,0,List Item
3,48,halo,2018-03-19T21:01:19.823Z,336.34789345060204,1014,0,Toolbar Item
3,49,halo,2018-03-19T21:01:21.736Z,392.0733580977845,1216,0,List Item
3,50,halo,2018-03-19T21:01:23.967Z,395.86478817155074,1479,0,List Item
3,51,halo,2018-03-19T21:01:26.626Z,473.0290218776443,1607,0,List Item
3,52,halo,2018-03-19T21:01:28.599Z,571.7776760670002,1190,0,Toolbar Item
3,53,halo,2018-03-19T21:01:30.621Z,383.22717512156623,899,0,List Item
