Participant,Trial,Condition,Time,TargetDistance,Duration,Mis-Clicks,Target Location
4,1,fixHalo,2018-03-20T13:37:00.681Z,398.7334077004967,1060,0,List Item
4,2,fixHalo,2018-03-20T13:37:02.609Z,548.857010474466,1315,0,List Item
4,3,fixHalo,2018-03-20T13:37:04.141Z,108.746468334336,987,0,Toolbar Item
4,4,fixHalo,2018-03-20T13:37:05.442Z,412.96618795045134,886,0,Grid Item
4,5,fixHalo,2018-03-20T13:37:07.652Z,402.41453120901247,1186,0,List Item
4,6,fixHalo,2018-03-20T13:37:10.183Z,306.4988673669321,2109,1,List Item
4,7,fixHalo,2018-03-20T13:37:11.451Z,300.8586823060634,802,0,Grid Item
4,8,fixHalo,2018-03-20T13:37:13.508Z,312.3268808115716,1505,1,List Item
4,9,fixHalo,2018-03-20T13:37:14.482Z,145.15132874443393,548,0,Grid Item
4,10,fixHalo,2018-03-20T13:37:15.707Z,387.4624135975957,763,0,Grid Item
4,11,fixHalo,2018-03-20T13:37:17.485Z,350.2487058033745,955,0,List Item
4,12,fixHalo,2018-03-20T13:37:19.403Z,589.8063015866344,1416,0,Toolbar Item
4,13,fixHalo,2018-03-20T13:37:20.913Z,561.9063517264619,986,0,Grid Item
4,14,fixHalo,2018-03-20T13:37:22.300Z,247.31148654509335,816,0,Grid Item
4,15,fixHalo,2018-03-20T13:37:23.694Z,303.17178979480923,904,0,Toolbar Item
4,16,fixHalo,2018-03-20T13:37:25.216Z,538.9726320607961,1000,0,Toolbar Item
4,17,fixHalo,2018-03-20T13:37:27.329Z,195.19716009092903,1520,1,Toolbar Item
4,18,fixHalo,2018-03-20T13:37:28.529Z,243.07318106432436,724,0,Grid Item
4,19,fixHalo,2018-03-20T13:37:30.610Z,571.7941048084073,1171,0,Toolbar Item
4,20,fixHalo,2018-03-20T13:37:35.180Z,505.45014383519845,2148,0,Toolbar Item
4,21,fixHalo,2018-03-20T13:37:36.790Z,338.3496421141809,917,0,List Item
4,22,fixHalo,2018-03-20T13:37:38.808Z,375.5143375462879,1511,1,List Item
4,23,fixHalo,2018-03-20T13:37:39.949Z,138.86502702326175,603,0,Grid Item
4,24,fixHalo,2018-03-20T13:37:41.138Z,215.26549436771396,730,0,Grid Item
4,25,fixHalo,2018-03-20T13:37:42.902Z,685.487790569225,1250,0,Grid Item
4,26,fixHalo,2018-03-20T13:37:45.253Z,366.29193333822894,1152,0,List Item
4,27,fixHalo,2018-03-20T13:37:46.762Z,345.865245358605,925,0,List Item
4,28,fixHalo,2018-03-20T13:37:48.093Z,156.20033332566908,855,0,Toolbar Item
4,29,fixHalo,2018-03-20T13:37:49.510Z,656.3138435064197,1016,0,Grid Item
4,30,fixHalo,2018-03-20T13:37:51.282Z,469.68761477974454,1110,0,List Item
4,31,fixHalo,2018-03-20T13:37:53.068Z,682.4195454911195,1094,0,Grid Item
4,32,fixHalo,2018-03-20T13:37:54.776Z,495.053352766297,1030,0,Grid Item
4,33,fixHalo,2018-03-20T13:37:56.487Z,387.8755987886951,1008,0,Toolbar Item
4,34,fixHalo,2018-03-20T13:37:57.836Z,260.79777761145806,896,0,List Item
4,35,fixHalo,2018-03-20T13:37:59.012Z,394.3135294635641,732,0,Grid Item
4,36,fixHalo,2018-03-20T13:38:01.231Z,255.68339069929362,1712,1,Toolbar Item
4,37,fixHalo,2018-03-20T13:38:02.520Z,192.65618704111228,785,0,Toolbar Item
4,38,fixHalo,2018-03-20T13:38:03.805Z,349.67194307817954,832,0,List Item
4,39,fixHalo,2018-03-20T13:38:05.475Z,486.0793843080694,1262,0,List Item
4,40,fixHalo,2018-03-20T13:38:07.601Z,449.1754730202161,1448,0,List Item
4,41,fixHalo,2018-03-20T13:38:09.396Z,413.6656626173576,1155,0,List Item
4,42,fixHalo,2018-03-20T13:38:10.982Z,250.39081227361427,670,0,Grid Item
4,43,fixHalo,2018-03-20T13:38:12.475Z,361.5889140837654,923,0,List Item
4,44,fixHalo,2018-03-20T13:38:13.907Z,709.1805472851407,932,0,Grid Item
4,45,fixHalo,2018-03-20T13:38:15.708Z,456.2011403327096,1118,0,List Item
4,46,fixHalo,2018-03-20T13:38:17.233Z,285.79685642477,860,0,List Item
4,47,fixHalo,2018-03-20T13:38:18.658Z,88.16132792444589,878,0,Toolbar Item
4,48,fixHalo,2018-03-20T13:38:20.043Z,668.1747050244546,908,0,Toolbar Item
4,49,fixHalo,2018-03-20T13:38:21.345Z,387.2919184058022,792,0,List Item
4,50,fixHalo,2018-03-20T13:38:22.681Z,176.002042419222,804,0,Toolbar Item
4,51,fixHalo,2018-03-20T13:38:23.895Z,192.30957029702776,778,0,Toolbar Item
4,52,fixHalo,2018-03-20T13:38:25.135Z,204.26317271651808,788,0,Toolbar Item
4,53,fixHalo,2018-03-20T13:38:26.770Z,380.08547406203803,829,0,List Item
4,54,fixHalo,2018-03-20T13:38:28.743Z,333.9403658909509,1095,0,List Item
4,55,fixHalo,2018-03-20T13:38:30.012Z,440.5659347215861,799,0,List Item
4,56,fixHalo,2018-03-20T13:38:31.300Z,433.48112293879944,795,0,Grid Item
4,57,fixHalo,2018-03-20T13:38:32.600Z,344.3757109352708,772,0,List Item
4,58,fixHalo,2018-03-20T13:38:34.331Z,572.1218996159912,1355,0,List Item
4,59,fixHalo,2018-03-20T13:38:36.003Z,182.21486322692223,925,0,Toolbar Item
4,60,fixHalo,2018-03-20T13:38:37.487Z,581.3138761232462,958,0,Grid Item
4,61,halo,2018-03-20T13:40:14.226Z,430.23395433796094,1238,0,List Item
4,62,halo,2018-03-20T13:40:15.481Z,249.579739540995,717,0,Grid Item
4,63,halo,2018-03-20T13:40:16.990Z,332.2339995441038,1017,0,Toolbar Item
4,64,halo,2018-03-20T13:40:18.974Z,468.08752461181047,1524,0,List Item
4,65,halo,2018-03-20T13:40:20.779Z,410.6118864322946,856,0,Grid Item
4,66,halo,2018-03-20T13:40:22.509Z,335.10135459187836,1118,0,List Item
4,67,halo,2018-03-20T13:40:24.397Z,530.0512762373698,1441,0,List Item
4,68,halo,2018-03-20T13:40:25.668Z,201.5536107449855,713,0,Grid Item
4,69,halo,2018-03-20T13:40:27.231Z,395.8079779595789,1094,0,List Item
4,70,halo,2018-03-20T13:40:29.308Z,542.0525162675997,1568,0,List Item
4,71,halo,2018-03-20T13:40:30.956Z,353.2774306346164,955,0,List Item
4,72,halo,2018-03-20T13:40:32.484Z,616.9112972280956,881,0,Grid Item
4,73,halo,2018-03-20T13:40:34.458Z,676.8367774567675,1386,1,Grid Item
4,74,halo,2018-03-20T13:40:35.720Z,171.3149027407413,630,0,Grid Item
4,75,halo,2018-03-20T13:40:37.084Z,342.4432147360993,817,0,List Item
4,76,halo,2018-03-20T13:40:38.491Z,639.8588018368057,916,0,Grid Item
4,77,halo,2018-03-20T13:40:40.240Z,479.5009309948186,923,0,List Item
4,78,halo,2018-03-20T13:40:41.634Z,150.52340567808392,784,0,Toolbar Item
4,79,halo,2018-03-20T13:40:43.066Z,529.698822533111,895,0,List Item
4,80,halo,2018-03-20T13:40:45.004Z,388.96215122664654,984,0,List Item
4,81,halo,2018-03-20T13:40:46.273Z,367.85583840590573,845,0,List Item
4,82,halo,2018-03-20T13:40:48.207Z,450.7522244800639,1240,0,List Item
4,83,halo,2018-03-20T13:40:49.748Z,487.69052467132747,865,0,Grid Item
4,84,halo,2018-03-20T13:40:51.020Z,557.9262256619962,750,0,Grid Item
4,85,halo,2018-03-20T13:40:52.751Z,434.37773598530805,1239,0,List Item
4,86,halo,2018-03-20T13:40:54.089Z,717.6024831298566,785,0,Grid Item
4,87,halo,2018-03-20T13:40:55.473Z,339.3057204806225,799,0,Grid Item
4,88,halo,2018-03-20T13:40:56.661Z,334.4592730710397,710,0,List Item
4,89,halo,2018-03-20T13:40:57.862Z,127.58739992386147,811,0,Toolbar Item
4,90,halo,2018-03-20T13:40:59.254Z,544.9001260244847,892,0,Grid Item
4,91,halo,2018-03-20T13:41:01.095Z,487.1682774094664,1156,0,List Item
4,92,halo,2018-03-20T13:41:02.864Z,484.3744911188812,847,0,Grid Item
4,93,halo,2018-03-20T13:41:04.587Z,728.1952772357981,1153,0,Toolbar Item
4,94,halo,2018-03-20T13:41:06.062Z,42.97464451268359,526,0,Grid Item
4,95,halo,2018-03-20T13:41:07.311Z,633.1895637834477,788,0,Toolbar Item
4,96,halo,2018-03-20T13:41:08.693Z,356.08418530470647,667,0,Grid Item
4,97,halo,2018-03-20T13:41:10.278Z,468.3187811160688,1101,0,List Item
4,98,halo,2018-03-20T13:41:11.563Z,453.7818555371529,730,0,Grid Item
4,99,halo,2018-03-20T13:41:12.901Z,686.5309432174661,759,0,Grid Item
4,100,halo,2018-03-20T13:41:15.033Z,509.68728675745206,1578,0,List Item
4,101,halo,2018-03-20T13:41:16.419Z,281.07417746911017,708,0,List Item
4,102,halo,2018-03-20T13:41:17.796Z,369.5454208305542,932,0,List Item
4,103,halo,2018-03-20T13:41:19.146Z,396.76298739511304,874,0,List Item
4,104,halo,2018-03-20T13:41:20.478Z,112.291561744674,848,0,Toolbar Item
4,105,halo,2018-03-20T13:41:21.721Z,425.92206914047506,851,0,Grid Item
4,106,halo,2018-03-20T13:41:23.613Z,307.41510495673737,1405,1,Grid Item
4,107,halo,2018-03-20T13:41:24.628Z,88.70792185921937,541,0,Grid Item
4,108,halo,2018-03-20T13:41:26.097Z,310.40321436752663,985,0,List Item
4,109,halo,2018-03-20T13:41:27.445Z,331.54142758230944,924,0,List Item
4,110,halo,2018-03-20T13:41:28.860Z,83.75459902510883,493,0,Grid Item
4,111,halo,2018-03-20T13:41:30.016Z,311.1899689578312,709,0,Grid Item
4,112,halo,2018-03-20T13:41:31.383Z,615.2264204368267,929,0,Grid Item
4,113,halo,2018-03-20T13:41:32.804Z,419.5823634440865,833,0,Grid Item
4,114,halo,2018-03-20T13:41:34.620Z,373.8957034694898,1280,0,Toolbar Item
4,115,halo,2018-03-20T13:41:35.969Z,528.456512396787,786,0,Toolbar Item
4,116,halo,2018-03-20T13:41:37.184Z,550.360902655319,754,0,Toolbar Item
4,117,halo,2018-03-20T13:41:38.649Z,210.43584808063787,610,0,Grid Item
4,118,halo,2018-03-20T13:41:39.909Z,411.3618643824538,756,0,Grid Item
4,119,halo,2018-03-20T13:41:41.880Z,427.1903475269663,1332,0,List Item
4,120,halo,2018-03-20T13:41:43.381Z,370.5716467021542,762,0,Grid Item
4,121,bubble,2018-03-20T13:42:07.862Z,360.0506172235806,1085,0,Toolbar Item
4,122,bubble,2018-03-20T13:42:10.017Z,448.3904789456144,1615,1,Grid Item
4,123,bubble,2018-03-20T13:42:11.796Z,530.2067850343213,1063,0,Grid Item
4,124,bubble,2018-03-20T13:42:13.278Z,237.7864244213844,915,0,Toolbar Item
4,125,bubble,2018-03-20T13:42:14.893Z,428.2819854705074,1200,0,Grid Item
4,126,bubble,2018-03-20T13:42:16.652Z,380.03725853358895,1189,0,List Item
4,127,bubble,2018-03-20T13:42:19.122Z,326.294622070356,1902,1,List Item
4,128,bubble,2018-03-20T13:42:20.623Z,208.37851687579686,985,0,Toolbar Item
4,129,bubble,2018-03-20T13:42:22.995Z,213.9987005808409,1487,1,Toolbar Item
4,130,bubble,2018-03-20T13:42:24.281Z,236.922288480842,787,0,Grid Item
4,131,bubble,2018-03-20T13:42:25.890Z,358.44019264967164,1142,0,Grid Item
4,132,bubble,2018-03-20T13:42:27.444Z,415.7202699377368,1056,0,List Item
4,133,bubble,2018-03-20T13:42:28.982Z,639.277814098709,1015,0,Grid Item
4,134,bubble,2018-03-20T13:42:30.508Z,613.6889469420348,925,0,Toolbar Item
4,135,bubble,2018-03-20T13:42:32.441Z,256.7840402704052,1054,0,List Item
4,136,bubble,2018-03-20T13:42:33.693Z,247.8286070983019,843,0,Toolbar Item
4,137,bubble,2018-03-20T13:42:35.334Z,486.0636463352972,1252,0,List Item
4,138,bubble,2018-03-20T13:42:37.066Z,364.51592292433025,939,0,Grid Item
4,139,bubble,2018-03-20T13:42:38.484Z,101.78995774749893,719,0,Grid Item
4,140,bubble,2018-03-20T13:42:40.010Z,469.7287710475058,1026,0,List Item
4,141,bubble,2018-03-20T13:42:41.450Z,329.57033458863464,881,0,List Item
4,142,bubble,2018-03-20T13:42:42.702Z,375.2615862165889,805,0,Grid Item
4,143,bubble,2018-03-20T13:42:44.211Z,443.5351657997052,978,0,List Item
4,144,bubble,2018-03-20T13:42:45.462Z,392.4610594691576,774,0,Grid Item
4,145,bubble,2018-03-20T13:42:46.774Z,532.8531316150979,830,0,Grid Item
4,146,bubble,2018-03-20T13:42:47.858Z,199.83019792899455,575,0,Grid Item
4,147,bubble,2018-03-20T13:42:49.677Z,520.7876535234362,995,0,List Item
4,148,bubble,2018-03-20T13:42:51.147Z,170.13283483992518,803,0,Toolbar Item
4,149,bubble,2018-03-20T13:42:52.816Z,425.7729507177915,1295,1,List Item
4,150,bubble,2018-03-20T13:42:54.686Z,337.3235917313238,833,0,List Item
4,151,bubble,2018-03-20T13:42:55.964Z,613.4257278585759,861,0,Grid Item
4,152,bubble,2018-03-20T13:42:57.480Z,618.9308714611444,951,0,Grid Item
4,153,bubble,2018-03-20T13:42:58.943Z,293.83742242825804,816,0,List Item
4,154,bubble,2018-03-20T13:43:00.209Z,253.16034216801472,850,0,Toolbar Item
4,155,bubble,2018-03-20T13:43:01.551Z,380.2250722439735,907,0,List Item
4,156,bubble,2018-03-20T13:43:02.899Z,477.1937082969848,939,0,Toolbar Item
4,157,bubble,2018-03-20T13:43:04.308Z,293.9016778289289,763,0,Grid Item
4,158,bubble,2018-03-20T13:43:05.995Z,137.37433389726095,764,0,Toolbar Item
4,159,bubble,2018-03-20T13:43:07.817Z,346.3413494739191,1407,1,Toolbar Item
4,160,bubble,2018-03-20T13:43:09.134Z,361.4975008459484,893,0,List Item
4,161,bubble,2018-03-20T13:43:10.534Z,424.20731129858564,999,0,List Item
4,162,bubble,2018-03-20T13:43:11.807Z,614.9471307644623,793,0,Grid Item
4,163,bubble,2018-03-20T13:43:14.395Z,182.88403665833866,2084,2,Toolbar Item
4,164,bubble,2018-03-20T13:43:16.082Z,381.0174439644085,1093,0,List Item
4,165,bubble,2018-03-20T13:43:17.346Z,452.9885734173381,792,0,Grid Item
4,166,bubble,2018-03-20T13:43:18.915Z,316.7005828671983,786,0,Toolbar Item
4,167,bubble,2018-03-20T13:43:20.229Z,283.09558287253225,838,0,Toolbar Item
4,168,bubble,2018-03-20T13:43:21.723Z,479.43754573733787,1062,0,Toolbar Item
4,169,bubble,2018-03-20T13:43:23.685Z,452.6608889712513,1201,0,List Item
4,170,bubble,2018-03-20T13:43:25.248Z,374.38104608300665,999,0,List Item
4,171,bubble,2018-03-20T13:43:26.741Z,347.4017802053398,1066,0,Toolbar Item
4,172,bubble,2018-03-20T13:43:28.288Z,514.3665937835424,1047,0,List Item
4,173,bubble,2018-03-20T13:43:29.685Z,577.1082092337499,889,0,Grid Item
4,174,bubble,2018-03-20T13:43:31.052Z,541.8347171323447,768,0,Grid Item
4,175,bubble,2018-03-20T13:43:32.342Z,113.0687072752139,753,0,Toolbar Item
4,176,bubble,2018-03-20T13:43:33.612Z,258.43917816384806,813,0,Toolbar Item
4,177,bubble,2018-03-20T13:43:35.476Z,499.32722734174064,938,0,List Item
4,178,bubble,2018-03-20T13:43:36.985Z,322.41707142607714,963,0,List Item
4,179,bubble,2018-03-20T13:43:38.302Z,425.7729507177915,833,0,List Item
4,180,bubble,2018-03-20T13:43:39.701Z,347.8152783261609,916,0,List Item
4,181,normal,2018-03-20T13:43:56.866Z,618.7809071127443,878,0,Grid Item
4,182,normal,2018-03-20T13:43:58.312Z,385.9382141585565,878,0,List Item
4,183,normal,2018-03-20T13:43:59.503Z,455.25191943887353,767,0,Grid Item
4,184,normal,2018-03-20T13:44:00.865Z,115.4347019435161,883,0,Toolbar Item
4,185,normal,2018-03-20T13:44:02.551Z,470.9485434861892,1285,0,List Item
4,186,normal,2018-03-20T13:44:03.832Z,237.84973338041826,647,0,Grid Item
4,187,normal,2018-03-20T13:44:05.708Z,508.37747823099437,1366,1,Toolbar Item
4,188,normal,2018-03-20T13:44:07.108Z,367.02766813445567,662,0,Grid Item
4,189,normal,2018-03-20T13:44:09.063Z,241.55078368749759,963,0,Toolbar Item
4,190,normal,2018-03-20T13:44:10.284Z,309.4325136469982,865,0,List Item
4,191,normal,2018-03-20T13:44:12.218Z,672.6209363027792,1184,0,Toolbar Item
4,192,normal,2018-03-20T13:44:14.109Z,389.7856371111434,1329,0,List Item
4,193,normal,2018-03-20T13:44:15.624Z,391.3085010834933,1054,0,List Item
4,194,normal,2018-03-20T13:44:17.187Z,529.8643389151598,1069,0,List Item
4,195,normal,2018-03-20T13:44:18.603Z,322.7430564357437,907,0,List Item
4,196,normal,2018-03-20T13:44:19.684Z,281.4002871083528,666,0,Grid Item
4,197,normal,2018-03-20T13:44:20.822Z,272.97272582061896,696,0,Grid Item
4,198,normal,2018-03-20T13:44:21.984Z,384.9087842845744,717,0,Grid Item
4,199,normal,2018-03-20T13:44:23.367Z,439.87602582256335,984,0,List Item
4,200,normal,2018-03-20T13:44:25.047Z,455.5338048552636,709,0,Grid Item
4,201,normal,2018-03-20T13:44:26.577Z,105.44060042258816,1026,0,Toolbar Item
4,202,normal,2018-03-20T13:44:27.541Z,85.5790297172104,541,0,Grid Item
4,203,normal,2018-03-20T13:44:28.538Z,265.6595264260321,570,0,Grid Item
4,204,normal,2018-03-20T13:44:29.749Z,251.65503800008756,695,0,Grid Item
4,205,normal,2018-03-20T13:44:31.808Z,522.7883586216768,1454,0,List Item
4,206,normal,2018-03-20T13:44:33.201Z,375.81892929624803,791,0,List Item
4,207,normal,2018-03-20T13:44:34.649Z,332.1854608378224,1023,0,List Item
4,208,normal,2018-03-20T13:44:35.822Z,456.04427982925705,821,0,Grid Item
4,209,normal,2018-03-20T13:44:37.231Z,625.2162415488579,849,0,Grid Item
4,210,normal,2018-03-20T13:44:38.504Z,475.0341935255833,774,0,Grid Item
4,211,normal,2018-03-20T13:44:40.045Z,353.0993743331863,945,0,List Item
4,212,normal,2018-03-20T13:44:41.922Z,355.2689195822483,894,0,List Item
4,213,normal,2018-03-20T13:44:43.638Z,355.459745296586,1300,1,List Item
4,214,normal,2018-03-20T13:44:45.178Z,484.6045399630286,784,0,Grid Item
